id,num1,num2,num3,num4,num5,solution
1,4,8,6,1,6,((6*1)+(6+(4+8))) = 24
2,9,5,3,8,7,((3-7)*(8-(9+5))) = 24
3,9,9,4,1,4,((4*(9+9))/(4-1)) = 24
4,10,6,7,1,2,((2*(10+6))-(7+1)) = 24
5,3,1,2,5,1,((3+1)*((2+5)-1)) = 24
6,3,4,10,10,10,((10+10)/(10/(3*4))) = 24
7,7,7,1,4,7,((7+(7+7))-(1-4)) = 24
8,1,9,2,8,10,((8/2)+(10+(1+9))) = 24
9,7,9,9,10,8,(8*((9+10)-(7+9))) = 24
10,5,6,3,10,10,((3+10)+(10-(5-6))) = 24
11,1,7,5,4,10,((4+(1+7))/(5/10)) = 24
12,4,3,10,1,4,(4+(10*(1+(4-3)))) = 24
13,5,5,6,10,7,(((5+5)*(10-7))-6) = 24
14,2,10,9,1,1,(10-((2-9)*(1+1))) = 24
15,1,5,9,4,9,((1+5)*((9+4)-9)) = 24
16,8,10,2,5,9,((2-5)+(9+(8+10))) = 24
17,8,1,10,7,9,(10-((8-1)*(7-9))) = 24
18,8,5,4,5,3,((4/3)*(5+(8+5))) = 24
19,7,3,8,4,5,((8+4)/(5/(7+3))) = 24
20,10,2,4,3,3,((10+2)*(3-(4-3))) = 24
21,8,10,7,2,9,(((8*10)/2)-(7+9)) = 24
22,10,9,9,7,9,((9+7)+(9-(10-9))) = 24
23,2,5,5,7,5,((5+7)+(5+(2+5))) = 24
24,9,4,8,10,8,((8*(9+4))-(8*10)) = 24
25,2,2,1,6,2,((2-1)*(6*(2+2))) = 24
26,5,1,7,6,3,((5+1)*(3+(7-6))) = 24
27,2,8,1,7,1,((2+8)+(7*(1+1))) = 24
28,1,10,3,9,10,((9/3)+(10+(1+10))) = 24
29,7,10,9,2,2,((9*2)-(2*(7-10))) = 24
30,1,7,2,3,8,((1+7)*(8-(2+3))) = 24
31,3,8,8,9,8,((8*9)/((3+8)-8)) = 24
32,5,10,8,6,8,(8*((6-8)-(5-10))) = 24
33,4,10,4,6,5,((4+10)-(5*(4-6))) = 24
34,10,4,8,1,9,((8+1)+(9+(10-4))) = 24
35,1,6,7,10,7,(10+(7*(7+(1-6)))) = 24
36,10,4,1,4,2,((10+4)+(2*(1+4))) = 24
37,2,2,10,3,1,((2+2)*((10-3)-1)) = 24
38,3,9,10,7,8,(8*((7-10)-(3-9))) = 24
39,8,4,2,4,6,((2+4)+(6+(8+4))) = 24
40,2,1,8,2,10,((10*(2+1))-(8-2)) = 24
41,7,7,1,6,3,((1+6)+(3+(7+7))) = 24
42,9,1,6,9,3,((6*9)-(3*(9+1))) = 24
43,8,1,5,1,7,((5-(8+1))*(1-7)) = 24
44,8,8,8,9,10,((8+(8+8))*(10-9)) = 24
45,4,3,5,2,4,((5+(4+3))*(4-2)) = 24
46,4,9,5,10,6,((6+(4+9))-(5-10)) = 24
47,10,8,7,2,8,((7*2)-(8-(10+8))) = 24
48,4,9,4,1,10,((4-10)*(1+(4-9))) = 24
49,7,1,9,7,5,((5*(7+1))-(9+7)) = 24
50,9,2,6,7,7,((6*7)-(7+(9+2))) = 24
51,8,4,6,6,4,((8+4)+(6*(6-4))) = 24
52,7,1,10,2,9,((7+1)*((10+2)-9)) = 24
53,9,10,7,9,6,((9+(9+10))/(7/6)) = 24
54,8,5,7,10,5,((7-10)*(5-(8+5))) = 24
55,8,6,6,10,2,((6-10)+(2*(8+6))) = 24
56,5,3,8,4,8,((8*(8-4))-(5+3)) = 24
57,8,8,10,9,9,((9+(8+8))-(10-9)) = 24
58,9,2,10,6,1,((10+6)+(1+(9-2))) = 24
59,7,8,3,7,6,((3-6)*(7-(7+8))) = 24
60,1,4,6,7,5,((6-7)+(5*(1+4))) = 24
61,9,5,7,9,2,((7-9)*(2-(9+5))) = 24
62,6,9,9,1,4,(4*((6+9)-(9*1))) = 24
63,5,10,9,6,3,((5+10)+(3*(9-6))) = 24
64,2,1,8,10,1,((8/(2+1))*(10-1)) = 24
65,2,2,9,9,6,((9-9)+(6*(2+2))) = 24
66,8,2,10,6,5,((10+(8+2))*(6/5)) = 24
67,8,2,6,5,7,((6+5)+(7+(8-2))) = 24
68,6,10,1,7,4,((7-1)/(4/(6+10))) = 24
69,1,2,9,1,9,((9-1)*(9/(1+2))) = 24
70,10,1,5,5,9,((5-9)*(5-(10+1))) = 24
71,8,5,9,3,8,((9/3)+(8+(8+5))) = 24
72,6,8,2,6,2,((2+6)+(2+(6+8))) = 24
73,2,1,7,1,4,((7*4)-(1+(2+1))) = 24
74,8,8,8,9,6,((6*(8+8))-(8*9)) = 24
75,10,10,2,10,6,((2/10)*(6*(10+10))) = 24
76,8,2,6,1,4,(((8+2)*(4-1))-6) = 24
77,2,3,4,9,9,(4*((2+3)+(9/9))) = 24
78,3,7,4,4,10,(((10*(3+7))-4)/4) = 24
79,9,3,9,5,7,((9+5)/(7/(9+3))) = 24
80,7,1,4,4,8,((4+4)+(8+(7+1))) = 24
81,10,8,9,2,9,((9+9)/(2-(10/8))) = 24
82,5,8,6,4,1,((6+4)+(1+(5+8))) = 24
83,4,1,7,10,10,(10+((7*10)/(4+1))) = 24
84,2,9,8,6,3,((8+6)+(3-(2-9))) = 24
85,7,9,10,7,4,((7-10)*(4*(7-9))) = 24
86,7,4,9,5,9,((9-5)+(9+(7+4))) = 24
87,4,1,7,9,6,(6+(9*(7-(4+1)))) = 24
88,7,7,7,6,4,((7*6)-(4+(7+7))) = 24
89,3,9,1,6,3,((3+9)*((6-1)-3)) = 24
90,7,5,8,7,9,((8/7)*(9+(7+5))) = 24
91,4,9,5,7,7,((5+7)*(7+(4-9))) = 24
92,7,9,2,2,7,((2/2)+(7+(7+9))) = 24
93,5,10,2,10,10,(2*(10-(10/(5-10)))) = 24
94,3,4,3,10,6,(10+((3+4)/(3/6))) = 24
95,5,5,3,2,1,((3+1)+(2*(5+5))) = 24
96,4,1,9,8,6,(6*((4+1)-(9-8))) = 24
97,2,8,8,5,3,((8*(2-8))/(3-5)) = 24
98,8,6,3,8,7,((3-7)*(8-(8+6))) = 24
99,2,1,8,10,8,(((8*10)-8)/(2+1)) = 24
100,7,8,8,2,3,((8-2)+(3+(7+8))) = 24
101,1,1,2,3,2,((2*3)*(2+(1+1))) = 24
102,3,7,7,8,7,((3-7)*((8-7)-7)) = 24
103,8,7,8,7,10,((10+(8+7))-(8-7)) = 24
104,3,10,9,3,1,((9+3)-(1-(3+10))) = 24
105,8,2,10,3,6,((8+2)*(3-(6/10))) = 24
106,8,3,5,10,2,((5+10)-(2-(8+3))) = 24
107,8,6,7,6,7,(6/((7/7)-(6/8))) = 24
108,9,5,2,7,5,((5+(9+5))-(2-7)) = 24
109,8,4,5,3,9,((5+3)*((8+4)-9)) = 24
110,4,1,8,6,7,((8-6)*(7+(4+1))) = 24
111,2,4,9,10,4,((10-9)*(4*(2+4))) = 24
112,7,8,6,2,2,(2*((7+8)-(6/2))) = 24
113,3,6,6,10,9,((3+6)+(9/(6/10))) = 24
114,9,4,8,8,7,((8/7)*(8+(9+4))) = 24
115,9,7,2,6,1,((2+6)+(1*(9+7))) = 24
116,10,2,7,3,9,((9*(7-3))-(10+2)) = 24
117,9,8,7,6,4,(4/((7/6)-(9-8))) = 24
118,7,7,5,10,6,((7+7)-(10*(5-6))) = 24
119,5,5,4,2,3,((3*(5+5))-(4+2)) = 24
120,8,5,5,8,10,((8*5)-(10/(5/8))) = 24
121,3,4,2,4,8,(((3+4)/(2/8))-4) = 24
122,2,1,4,7,10,((4+7)+(10+(2+1))) = 24
123,1,2,5,7,9,((5+7)+(9+(1+2))) = 24
124,7,7,2,9,3,((3+(7+7))-(2-9)) = 24
125,10,1,7,5,6,(6+((10-1)*(7-5))) = 24
126,9,7,7,9,8,((7+9)-(8-(9+7))) = 24
127,1,10,8,8,5,((8*(1-10))/(5-8)) = 24
128,1,6,9,8,8,(8+(8*(9-(1+6)))) = 24
129,7,5,5,1,5,((7+5)*(1+(5/5))) = 24
130,2,8,8,6,6,(6*((8+6)-(2+8))) = 24
131,2,5,2,8,2,((2+8)+(2*(2+5))) = 24
132,4,3,10,2,1,((10*1)+(2*(4+3))) = 24
133,2,7,3,4,5,(4*((3*5)-(2+7))) = 24
134,8,2,7,8,9,((8*9)/((8+2)-7)) = 24
135,4,10,8,6,7,((8*6)*(7/(4+10))) = 24
136,7,5,5,2,3,((7+5)/(3-(5/2))) = 24
137,1,1,6,3,10,((6-3)*(10-(1+1))) = 24
138,5,8,4,4,4,((4*(4-(5-8)))-4) = 24
139,2,2,4,10,10,(((10*10)-4)/(2+2)) = 24
140,4,9,10,7,6,((10+7)-(6-(4+9))) = 24
141,5,6,3,4,3,((3*3)+(4+(5+6))) = 24
142,10,4,7,2,4,((7*2)-(4-(10+4))) = 24
143,9,8,2,6,4,((6/2)+(4+(9+8))) = 24
144,10,1,4,3,6,((4+3)+(6+(10+1))) = 24
145,9,7,10,9,1,(9/(1-(10/(9+7)))) = 24
146,4,9,4,5,8,((4*8)+(5-(4+9))) = 24
147,4,7,7,6,5,((4-7)*(5-(7+6))) = 24
148,4,10,2,2,3,((4+10)+(2*(2+3))) = 24
149,1,5,3,7,9,((3*7)+(9-(1+5))) = 24
150,2,8,10,7,4,(4*(7-(10/(2+8)))) = 24
151,9,8,4,6,9,((4-6)+(9+(9+8))) = 24
152,2,3,7,1,9,((7-1)*(9-(2+3))) = 24
153,10,8,3,5,4,((4+(10+8))-(3-5)) = 24
154,3,5,8,5,8,((8*5)-(8+(3+5))) = 24
155,4,7,6,5,9,((6/5)*(9+(4+7))) = 24
156,9,8,5,8,4,((4+(9+8))-(5-8)) = 24
157,6,6,7,5,7,((6*5)+(7-(6+7))) = 24
158,5,9,6,4,3,(3+((5+9)*(6/4))) = 24
159,8,7,3,2,10,((10+(8+7))-(3-2)) = 24
160,1,1,7,9,1,((7-1)+(9*(1+1))) = 24
161,10,3,9,2,3,(((10+3)-9)*(2*3)) = 24
162,7,5,5,10,10,((10*(7+5))/(10-5)) = 24
163,2,2,3,9,8,((3+9)+(8+(2+2))) = 24
164,3,2,9,3,6,((6*(3+2))-(9-3)) = 24
165,1,2,7,1,2,((1+2)*(2+(7-1))) = 24
166,6,2,10,9,10,((6/2)*(9-(10/10))) = 24
167,10,6,8,3,5,(((10+6)*(5-3))-8) = 24
168,8,6,5,8,5,(8*((8-6)+(5/5))) = 24
169,1,10,4,9,3,((4*3)*((1+10)-9)) = 24
170,6,4,9,6,8,(6-(9*(8-(6+4)))) = 24
171,10,8,7,3,4,((7+3)-(4-(10+8))) = 24
172,5,5,1,3,3,(3*((5+5)+(1-3))) = 24
173,10,6,6,10,5,((6*5)+(10-(10+6))) = 24
174,9,8,8,10,2,(8*((10*2)-(9+8))) = 24
175,4,1,8,7,8,((8+7)*(8/(4+1))) = 24
176,8,2,10,6,1,((10-6)*(1*(8-2))) = 24
177,5,6,4,10,6,((4*6)*((5+6)-10)) = 24
178,1,4,4,1,6,(6/(((1+4)/4)-1)) = 24
179,1,4,10,1,7,((7*(1+4))-(10+1)) = 24
180,4,8,5,7,2,((5+7)*((8-4)-2)) = 24
181,3,5,2,2,9,((2*9)-(2-(3+5))) = 24
182,9,3,3,9,10,((3+9)*((9+3)-10)) = 24
183,5,8,2,8,4,((2*(5+8))-(8/4)) = 24
184,1,3,6,1,3,(6/(1-(3/(1+3)))) = 24
185,9,5,6,6,2,((6+6)-(2-(9+5))) = 24
186,6,9,10,8,5,((8*(6+9))/(10-5)) = 24
187,10,1,6,9,4,(4*((6+9)-(10-1))) = 24
188,9,2,8,3,5,((8-5)*((9+2)-3)) = 24
189,1,9,3,5,1,((3*5)-(1-(1+9))) = 24
190,8,4,10,8,8,(8-(8*(10-(8+4)))) = 24
191,4,3,8,2,1,((8*2)+(1+(4+3))) = 24
192,3,10,9,9,10,((9/9)+(10+(3+10))) = 24
193,1,10,6,9,6,(6*((6+9)-(1+10))) = 24
194,4,1,1,9,5,((1+5)*(9-(4+1))) = 24
195,9,1,8,6,6,(6*((8+6)-(9+1))) = 24
196,2,6,10,2,4,((10+2)+(4+(2+6))) = 24
197,3,6,3,9,4,((4*(3+6))-(3+9)) = 24
198,7,4,9,7,6,((7-4)*(6+(9-7))) = 24
199,3,1,3,3,6,((3-3)+(6*(3+1))) = 24
200,8,7,3,2,9,((3-2)*(9+(8+7))) = 24
201,10,7,1,4,3,((1*4)+(3+(10+7))) = 24
202,10,10,3,10,5,((3*10)-(5+(10/10))) = 24
203,7,10,5,8,4,((4+(7+10))-(5-8)) = 24
204,4,2,4,7,1,((4+2)*(1-(4-7))) = 24
205,2,9,6,7,10,(6*((7-10)-(2-9))) = 24
206,1,10,8,1,8,((8*1)*((1+10)-8)) = 24
207,10,9,3,4,5,((10+9)-(5*(3-4))) = 24
208,2,4,9,7,1,((9-(2+4))*(7+1)) = 24
209,4,2,7,9,3,(3*((4+2)-(7-9))) = 24
210,5,10,4,2,6,(((5+10)*(4-2))-6) = 24
211,1,9,10,7,3,((10+7)-(3-(1+9))) = 24
212,10,6,7,6,7,((7-6)+(7+(10+6))) = 24
213,10,3,5,10,1,(((10+3)-1)/(5/10)) = 24
214,2,6,10,9,5,((2-6)*((9-10)-5)) = 24
215,8,9,9,5,5,((9-5)*(5-(8-9))) = 24
216,5,9,7,10,4,(4+((5+9)/(7/10))) = 24
217,10,8,8,1,6,((6*(8-1))-(10+8)) = 24
218,2,7,5,7,10,((2+7)-(5*(7-10))) = 24
219,2,1,7,10,8,((7+10)+(8-(2-1))) = 24
220,5,9,9,8,1,((1-9)-(8*(5-9))) = 24
221,2,6,8,2,8,((8*(8/2))-(2+6)) = 24
222,7,2,10,4,10,(4+((10*10)/(7-2))) = 24
223,5,1,2,5,7,((5+1)*(7+(2-5))) = 24
224,5,2,5,6,7,(6*(5-(7/(5+2)))) = 24
225,5,10,1,6,3,(3*((5+10)-(1+6))) = 24
226,2,10,2,5,5,((2+5)+(5+(2+10))) = 24
227,10,6,10,2,1,((10-2)+(1*(10+6))) = 24
228,2,1,2,3,9,(9+((2+1)*(2+3))) = 24
229,10,1,9,10,2,(2*((10+1)-(9-10))) = 24
230,7,2,7,6,2,((7+6)+(2+(7+2))) = 24
231,10,7,6,6,3,((10-7)*(6+(6/3))) = 24
232,10,1,8,10,1,((10-8)*(1+(10+1))) = 24
233,5,10,8,2,10,((8*2)/(10/(5+10))) = 24
234,7,4,2,6,9,((9+(7+4))-(2-6)) = 24
235,7,7,6,4,2,((6-4)*((7+7)-2)) = 24
236,10,8,4,6,5,((10+8)-(6*(4-5))) = 24
237,5,8,10,8,10,((5-8)*(10-(10+8))) = 24
238,4,10,3,4,6,(((4+10)/(3/6))-4) = 24
239,4,4,10,9,7,((9*(4+4))/(10-7)) = 24
240,2,3,4,1,9,(9+((2+3)*(4-1))) = 24
241,7,1,9,10,4,((7+1)*(4+(9-10))) = 24
242,2,6,8,10,8,((2+6)-(8*(8-10))) = 24
243,2,8,1,7,2,((2+8)+(2*(1*7))) = 24
244,4,10,4,8,7,((4+8)/(7/(4+10))) = 24
245,2,8,4,3,6,(3*((2+8)+(4-6))) = 24
246,1,3,5,4,8,(8*((1+3)-(5-4))) = 24
247,6,1,9,7,9,((9+7)*(9/(6*1))) = 24
248,10,4,6,10,7,((10+4)-(10*(6-7))) = 24
249,3,6,7,9,3,((9-7)*(3+(3+6))) = 24
250,7,5,4,7,4,((4-7)*(4-(7+5))) = 24
251,3,1,2,4,7,((2*4)*(7-(3+1))) = 24
252,2,8,5,1,6,((5+1)*((2+8)-6)) = 24
